,단지코드,지역,단지명,도로명주소,전용면적,임대료,임대보증금
0,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,38.0,14621655.909550158,119407.90363775325
1,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,37.26,16760000.0,137800.0
2,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,37.41,14649981.25614402,119743.02060706574
3,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,37.49,14646140.53118214,119697.58101800644
4,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,37.95,9560000.0,76100.0
5,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,38.04,14619735.547069218,119385.1838432236
6,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,39.33,17692000.0,145500.0
7,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,54.51,13761000.0,109500.0
8,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,54.6,13783000.0,109500.0
9,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,54.61,13761000.0,109500.0
10,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,75.98,12798271.733897751,97835.45873183972
11,C2289,부산광역시,동삼주공2단지,부산광역시 영도구 상리로 1,583.4,30072000.0,1253000.0
12,C2597,부산광역시,동삼주공1단지,부산광역시 영도구 동삼북로 2,15.0,4720041.83198073,44723.36463081074
13,C2597,부산광역시,동삼주공1단지,부산광역시 영도구 동삼북로 2,19.25,4550000.0,46400.0
14,C2597,부산광역시,동삼주공1단지,부산광역시 영도구 동삼북로 2,22.89,5532347.1831698185,59025.503543126426
15,C2597,부산광역시,동삼주공1단지,부산광역시 영도구 동삼북로 2,23.88,5634271.42875628,60820.068501705966
16,C2597,부산광역시,동삼주공1단지,부산광역시 영도구 동삼북로 2,23.91,5637360.0422589015,60874.449258026565
